"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8507","Admin user","","2026-09-18","passed","2026-09-18","grocery shopping application","tests\groceryapp.spec.js","",""
"","7737","@smoke Manage order","","2026-09-17","passed","2026-09-17","grocery shopping application","tests\groceryapp.spec.js","",""
"","5417","Manage slider","","2026-09-18","passed","2026-09-18","grocery shopping application","tests\groceryapp.spec.js","",""
"","8480","Verify user","","2026-09-18","failed","2026-09-18","grocery shopping application","tests\groceryapp.spec.js","",""
"","3441","login with valid credentials and navigate to dashboard","","2026-09-18","passed","2026-09-18","grocery shopping application","tests\groceryapp.spec.js","",""
"","10494","@regression Manage offercode","","2026-09-18","passed","2026-09-18","grocery shopping application","tests\groceryapp.spec.js","",""
"","15368","Manage products","","2026-09-18","passed","2026-09-18","grocery shopping application","tests\groceryapp.spec.js","",""
"","10668","Manage order","","2026-09-18","passed","2026-09-18","grocery shopping application","tests\groceryapp.spec.js","",""
"","40793","Manage user","","2026-09-17","broken","2026-09-17","grocery shopping application","tests\groceryapp.spec.js","",""
"","9175","manage pages","","2026-09-18","passed","2026-09-18","grocery shopping application","tests\groceryapp.spec.js","",""
"","10653","category","","2026-09-18","passed","2026-09-18","grocery shopping application","tests\groceryapp.spec.js","",""
"","2190","login using invalid credentials leads to an error message","","2026-09-18","passed","2026-09-18","grocery shopping application","tests\groceryapp.spec.js","",""
"","6080","@smoke Manage user","","2026-09-18","passed","2026-09-18","grocery shopping application","tests\groceryapp.spec.js","",""
"","10775","Manage delivery boy","","2026-09-18","passed","2026-09-18","grocery shopping application","tests\groceryapp.spec.js","",""
